accounts:2988,bookEntries:2988;depositAmount:6447;depositAmount:int;deposit;false
accounts:2988:2997,bookEntries:2988:2997;transferAmount:8719;transferAmount:int;transfer;false
accounts:2056:1872,bookEntries:2056:1872;transferAmount:4262;transferAmount:int;transfer;false
accounts:1757:1639,bookEntries:1757:1639;transferAmount:7241;transferAmount:int;transfer;false
accounts:2056,bookEntries:2056;depositAmount:1947;depositAmount:int;deposit;false
accounts:1757,bookEntries:1757;depositAmount:4692;depositAmount:int;deposit;false
accounts:4020,bookEntries:4020;depositAmount:2387;depositAmount:int;deposit;false
accounts:3373,bookEntries:3373;depositAmount:7938;depositAmount:int;deposit;false
accounts:1617,bookEntries:1617;depositAmount:5730;depositAmount:int;deposit;false
accounts:2139,bookEntries:2139;depositAmount:2112;depositAmount:int;deposit;false
accounts:2192,bookEntries:2192;depositAmount:9646;depositAmount:int;deposit;false
accounts:516,bookEntries:516;depositAmount:5143;depositAmount:int;deposit;false
accounts:4020:4122,bookEntries:4020:4122;transferAmount:5258;transferAmount:int;transfer;false
accounts:3373:2764,bookEntries:3373:2764;transferAmount:4358;transferAmount:int;transfer;false
accounts:1119,bookEntries:1119;depositAmount:8551;depositAmount:int;deposit;false
accounts:1234,bookEntries:1234;depositAmount:4135;depositAmount:int;deposit;false
accounts:2537,bookEntries:2537;depositAmount:1669;depositAmount:int;deposit;false
accounts:1617:1564,bookEntries:1617:1564;transferAmount:8901;transferAmount:int;transfer;false
accounts:862,bookEntries:862;depositAmount:3514;depositAmount:int;deposit;false
accounts:2226,bookEntries:2226;depositAmount:4605;depositAmount:int;deposit;false
accounts:2139:2130,bookEntries:2139:2130;transferAmount:653;transferAmount:int;transfer;false
accounts:2192:1968,bookEntries:2192:1968;transferAmount:5688;transferAmount:int;transfer;false
accounts:516:747,bookEntries:516:747;transferAmount:2021;transferAmount:int;transfer;false
accounts:1119:514,bookEntries:1119:514;transferAmount:8290;transferAmount:int;transfer;false
accounts:3863,bookEntries:3863;depositAmount:1865;depositAmount:int;deposit;false
accounts:1234:1529,bookEntries:1234:1529;transferAmount:6792;transferAmount:int;transfer;false
accounts:3006,bookEntries:3006;depositAmount:2245;depositAmount:int;deposit;false
accounts:2537:2689,bookEntries:2537:2689;transferAmount:1294;transferAmount:int;transfer;false
accounts:862:439,bookEntries:862:439;transferAmount:6223;transferAmount:int;transfer;false
accounts:2671,bookEntries:2671;depositAmount:3835;depositAmount:int;deposit;false
accounts:2226:1659,bookEntries:2226:1659;transferAmount:3357;transferAmount:int;transfer;false
accounts:3863:3889,bookEntries:3863:3889;transferAmount:6440;transferAmount:int;transfer;false
accounts:1041,bookEntries:1041;depositAmount:3029;depositAmount:int;deposit;false
accounts:3947,bookEntries:3947;depositAmount:3441;depositAmount:int;deposit;true
accounts:2306,bookEntries:2306;depositAmount:5941;depositAmount:int;deposit;false
accounts:3006:3255,bookEntries:3006:3255;transferAmount:702;transferAmount:int;transfer;false
accounts:3975,bookEntries:3975;depositAmount:2901;depositAmount:int;deposit;false
accounts:2671:3093,bookEntries:2671:3093;transferAmount:7860;transferAmount:int;transfer;false
accounts:1041:1005,bookEntries:1041:1005;transferAmount:5691;transferAmount:int;transfer;false
accounts:3223,bookEntries:3223;depositAmount:734;depositAmount:int;deposit;false
accounts:3947:3814,bookEntries:3947:3814;transferAmount:1548;transferAmount:int;transfer;false
accounts:2657,bookEntries:2657;depositAmount:8573;depositAmount:int;deposit;false
accounts:2006,bookEntries:2006;depositAmount:7128;depositAmount:int;deposit;false
accounts:2306:2654,bookEntries:2306:2654;transferAmount:3875;transferAmount:int;transfer;false
accounts:3217,bookEntries:3217;depositAmount:2350;depositAmount:int;deposit;false
accounts:3975:4380,bookEntries:3975:4380;transferAmount:9814;transferAmount:int;transfer;false
accounts:2599,bookEntries:2599;depositAmount:2945;depositAmount:int;deposit;false
accounts:1377,bookEntries:1377;depositAmount:4477;depositAmount:int;deposit;false
accounts:2067,bookEntries:2067;depositAmount:6826;depositAmount:int;deposit;true
accounts:1706,bookEntries:1706;depositAmount:9050;depositAmount:int;deposit;false
accounts:3223:2784,bookEntries:3223:2784;transferAmount:9448;transferAmount:int;transfer;false
accounts:1933,bookEntries:1933;depositAmount:5096;depositAmount:int;deposit;false
accounts:2657:2798,bookEntries:2657:2798;transferAmount:389;transferAmount:int;transfer;false
accounts:4180,bookEntries:4180;depositAmount:5786;depositAmount:int;deposit;false
accounts:411,bookEntries:411;depositAmount:5246;depositAmount:int;deposit;false
accounts:2006:1673,bookEntries:2006:1673;transferAmount:6477;transferAmount:int;transfer;true
accounts:1968,bookEntries:1968;depositAmount:3158;depositAmount:int;deposit;true
accounts:1982,bookEntries:1982;depositAmount:9786;depositAmount:int;deposit;false
accounts:877,bookEntries:877;depositAmount:4392;depositAmount:int;deposit;false
accounts:3217:2379,bookEntries:3217:2379;transferAmount:8823;transferAmount:int;transfer;false
accounts:2599:2529,bookEntries:2599:2529;transferAmount:4141;transferAmount:int;transfer;false
accounts:36,bookEntries:36;depositAmount:5753;depositAmount:int;deposit;false
accounts:1377:1254,bookEntries:1377:1254;transferAmount:2618;transferAmount:int;transfer;false
accounts:1935,bookEntries:1935;depositAmount:7036;depositAmount:int;deposit;false
accounts:1966,bookEntries:1966;depositAmount:3536;depositAmount:int;deposit;false
accounts:750,bookEntries:750;depositAmount:910;depositAmount:int;deposit;false
accounts:3970,bookEntries:3970;depositAmount:8020;depositAmount:int;deposit;false
accounts:2067:1404,bookEntries:2067:1404;transferAmount:6652;transferAmount:int;transfer;false
accounts:1706:1433,bookEntries:1706:1433;transferAmount:6868;transferAmount:int;transfer;false
accounts:1933:1759,bookEntries:1933:1759;transferAmount:4254;transferAmount:int;transfer;false
accounts:2818,bookEntries:2818;depositAmount:5367;depositAmount:int;deposit;false
accounts:4180:4218,bookEntries:4180:4218;transferAmount:3062;transferAmount:int;transfer;false
accounts:197,bookEntries:197;depositAmount:4259;depositAmount:int;deposit;false
accounts:411:843,bookEntries:411:843;transferAmount:154;transferAmount:int;transfer;false
accounts:3339,bookEntries:3339;depositAmount:9476;depositAmount:int;deposit;false
accounts:1899,bookEntries:1899;depositAmount:614;depositAmount:int;deposit;true
accounts:1968:1340,bookEntries:1968:1340;transferAmount:4528;transferAmount:int;transfer;false
