2988,6447,deposit,false
2988:2997,8719,transfer,false
2056:1872,4262,transfer,false
1757:1639,7241,transfer,false
2056,1947,deposit,false
1757,4692,deposit,false
4020,2387,deposit,false
3373,7938,deposit,false
1617,5730,deposit,false
2139,2112,deposit,false
2192,9646,deposit,false
516,5143,deposit,false
4020:4122,5258,transfer,false
3373:2764,4358,transfer,false
1119,8551,deposit,false
1234,4135,deposit,false
2537,1669,deposit,false
1617:1564,8901,transfer,false
862,3514,deposit,false
2226,4605,deposit,false
2139:2130,653,transfer,false
2192:1968,5688,transfer,false
516:747,2021,transfer,false
1119:514,8290,transfer,false
3863,1865,deposit,false
1234:1529,6792,transfer,false
3006,2245,deposit,false
2537:2689,1294,transfer,false
862:439,6223,transfer,false
2671,3835,deposit,false
2226:1659,3357,transfer,false
3863:3889,6440,transfer,false
1041,3029,deposit,false
3947,3441,deposit,true
2306,5941,deposit,false
3006:3255,702,transfer,false
3975,2901,deposit,false
2671:3093,7860,transfer,false
1041:1005,5691,transfer,false
3223,734,deposit,false
3947:3814,1548,transfer,false
2657,8573,deposit,false
2006,7128,deposit,false
2306:2654,3875,transfer,false
3217,2350,deposit,false
3975:4380,9814,transfer,false
2599,2945,deposit,false
1377,4477,deposit,false
2067,6826,deposit,true
1706,9050,deposit,false
3223:2784,9448,transfer,false
1933,5096,deposit,false
2657:2798,389,transfer,false
4180,5786,deposit,false
411,5246,deposit,false
2006:1673,6477,transfer,true
1968,3158,deposit,true
1982,9786,deposit,false
877,4392,deposit,false
3217:2379,8823,transfer,false
2599:2529,4141,transfer,false
36,5753,deposit,false
1377:1254,2618,transfer,false
1935,7036,deposit,false
1966,3536,deposit,false
750,910,deposit,false
3970,8020,deposit,false
2067:1404,6652,transfer,false
1706:1433,6868,transfer,false
1933:1759,4254,transfer,false
2818,5367,deposit,false
4180:4218,3062,transfer,false
197,4259,deposit,false
411:843,154,transfer,false
3339,9476,deposit,false
1899,614,deposit,true
1968:1340,4528,transfer,false
1742,4806,deposit,false
779,7762,deposit,false
1982:1681,1340,transfer,false
877:404,389,transfer,false
36:534,4149,transfer,false
1935:2090,40,transfer,false
1128,2151,deposit,false
1966:1876,1477,transfer,false
750:548,9553,transfer,false
226,5375,deposit,false
27,9503,deposit,false
3970:3779,4210,transfer,true
4060,5799,deposit,false
2818:2558,3613,transfer,false
3128,5472,deposit,false
3551,3484,deposit,false
3680,6640,deposit,false
1834,3407,deposit,false
197:129,4307,transfer,false
3729,6020,deposit,false
3339:2884,3626,transfer,false
1899:1792,5175,transfer,false
1742:1385,3352,transfer,false
1617,9820,deposit,false
779:279,614,transfer,false
4321,9437,deposit,false
720,6670,deposit,false
270,3677,deposit,false
1128:2111,6555,transfer,false
226:308,8308,transfer,true
1661,5731,deposit,false
1883,2181,deposit,false
128,7464,deposit,false
548,8540,deposit,false
3324,8344,deposit,false
27:634,2938,transfer,false
4000,1512,deposit,false
1289,6751,deposit,false
2465,333,deposit,false
814,3983,deposit,false
4060:3909,1375,transfer,false
3128:2465,9130,transfer,false
2490,8891,deposit,false
3551:3923,1378,transfer,false
3680:3504,9010,transfer,false
3475,346,deposit,false
1834:1701,8254,transfer,false
1195,4383,deposit,false
2908,131,deposit,false
3729:3654,2719,transfer,false
343,5537,deposit,false
2773,8773,deposit,false
1617:2118,7322,transfer,false
144,850,deposit,false
557,6069,deposit,false
20,7906,deposit,false
4321:3683,2735,transfer,false
43,8879,deposit,true
55,3770,deposit,false
720:215,2765,transfer,false
270:556,3045,transfer,false
399,7998,deposit,false
1661:1930,2447,transfer,false
1262,7008,deposit,false
1883:1789,7025,transfer,false
128:965,9315,transfer,false
548:751,133,transfer,false
3324:2806,6687,transfer,false
